City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
283,port sudan,19.6175,37.2164,94.06,40,67,10.09,SD,1692749529
284,locri,38.2414,16.2623,79.32,67,11,8.12,IT,1692749529
285,tamanrasset,22.785,5.5228,82.31,28,40,10.36,DZ,1692749372
286,reforma,18.1,-91.0167,80.96,79,98,10.31,MX,1692749530
287,puerto vallarta,20.6204,-105.2307,88.92,67,100,1.99,MX,1692749343
288,gembu,6.7,11.2667,61.66,92,100,1.97,NG,1692749530
289,hakha,22.65,93.6167,60.17,97,100,2.26,MM,1692749530
290,tshikapa,-6.4167,20.8,81.05,36,67,0.83,CD,1692749530
291,kudat,6.8837,116.8477,80.71,76,96,3.76,MY,1692749531
292,marsa alam,25.0757,34.8918,90.3,46,16,1.39,EG,1692749531
293,maxixe,-23.8597,35.3472,69.49,86,0,11.81,MZ,1692749531
294,pikalevo,59.5183,34.1664,52.72,84,100,4.23,RU,1692749531
295,dudinka,69.4058,86.1778,52.63,88,100,7.7,RU,1692749532
296,cockburn town,21.4612,-71.1419,83.48,74,17,19.95,TC,1692749532
297,muynoq,43.7683,59.0214,80.85,25,23,5.82,UZ,1692749532
298,xilin hot,43.9667,116.0333,58.44,59,44,4.29,CN,1692749532
299,cabaritan east,18.4206,121.4897,80.2,83,100,7.74,PH,1692749533
300,anadyr,64.75,177.4833,50.5,87,75,15.66,RU,1692749533
301,hamilton,39.1834,-84.5333,84.78,60,0,9.22,US,1692749430
302,kharkhorin,47.1975,102.8238,49.08,86,98,1.03,MN,1692749533
303,selfoss,63.9331,-20.9971,49.05,77,58,6.29,IS,1692749534
304,tibanbang,6.6315,126.1055,79.99,81,100,4.29,PH,1692749534
305,daru,-9.0763,143.2092,78.78,79,69,15.14,PG,1692749534
306,aden,12.7794,45.0367,86.94,77,27,10.47,YE,1692749507
307,tarnogskiy gorodok,60.4997,43.5761,38.75,93,22,3.11,RU,1692749534
308,baardheere,2.3446,42.2764,74.79,75,3,11.36,SO,1692749535
309,mogocha,53.7333,119.7667,58.44,56,99,7.85,RU,1692749535
310,port augusta,-32.5,137.7667,55.69,52,0,0.94,AU,1692749535
311,sinop,41.7711,34.8709,69.94,35,0,4.61,TR,1692749527
312,rabaul,-4.1967,152.1721,83.03,74,83,13.78,PG,1692749535
313,pacific grove,36.6177,-121.9166,82.54,78,0,11.5,US,1692749439
314,keflavik,64.0049,-22.5624,52.23,87,0,13.8,IS,1692749536
315,mir bachah kot,34.75,69.119,65.73,34,0,4.54,AF,1692749536
316,afaahiti,-17.75,-149.2833,78.67,63,27,7.2,PF,1692749536
317,krasnoshchekovo,51.6708,82.7289,62.49,75,42,4.52,RU,1692749536
318,lompoc,34.6391,-120.4579,86.02,71,20,14.0,US,1692749450
319,mahibadhoo,3.7833,72.9667,82.54,75,81,10.8,MV,1692749537
320,puerto maldonado,-12.6,-69.1833,81.0,83,0,0.0,PE,1692749537
321,kirensk,57.7853,108.1119,58.08,89,53,0.69,RU,1692749537
322,kavaratti,10.5669,72.642,81.63,76,54,10.65,IN,1692749523
323,utrik,11.2278,169.8474,83.53,73,31,15.21,MH,1692749537
324,stephenville,32.2207,-98.2023,97.59,33,89,1.99,US,1692749211
325,castillos,-34.1667,-53.8333,49.77,91,98,9.48,UY,1692749538
326,vung tau,10.346,107.0843,80.22,85,99,9.66,VN,1692749538
327,saint-pierre,-21.3393,55.4781,73.08,73,20,21.85,RE,1692749536
